m,re_key,qu_1,m_1,unit_1,qu_2,m_2,unit_2,lookups_item_key,l_p,s,r,url,finalMap,
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN,slaw,slaw,http://www.littlekitchenbigworld.com/jerk-salmon-sweet-summer-slaw/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN NN,veggie pad thai,veggie pad thai,https://www.livesimplynatural.com/raw-rainbow-veggie-pad-thai/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NN,for the burger,for the burger,http://www.thefoodgirl.com/crab-rangoon-burger/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,1 small red onion,1 small red onion,http://lookingfordelights.com/lavocado-salsa-oil-free/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN VBD CC VBD,1 red onion quartered and sliced,1 red onion quartered and sliced,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN VBN CC VBN,2 zucchini halved and sliced,2 zucchini halved and sliced,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NNS VBD CC VBD,2 japanese eggplants halved and sliced,2 japanese eggplants halved and sliced,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN VBD,1 tomato chopped,1 tomato chopped,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000B8A1EB0>,st,CD ,NNS ,CD NNS ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NNS JJ NN VBD,2 cups fresh spinach sliced,2 cups fresh spinach sliced,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000B8A1858>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN NNS VBD,5 cherry tomatoes halved,5 cherry tomatoes halved,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000B8A1858>,st,CD ,NNS ,CD NNS ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NNS JJ NN VBD,2 tablespoons fresh mint chopped,2 tablespoons fresh mint chopped,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,JJ NN IN JJ NN,generous sprinkle of dried oregano,generous sprinkle of dried oregano,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN TO VB JJ NN NN IN JJ,feta cheese to garnish vegan/dairy-free option use vegan cheese,feta cheese to garnish vegan/dairy-free option use vegan cheese,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,PRP$ JJ NN NN VBG NNS VBD DT JJ NN NN CC PRP VBD VBG,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000B97CEB0>,st,CD ,NNS ,CD NNS ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NNS JJ NN VBD,2 cups fresh spinach sliced,2 cups fresh spinach sliced,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000B97C858>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN NNS VBD,5 cherry tomatoes halved,5 cherry tomatoes halved,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000B97C858>,st,CD ,NNS ,CD NNS ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NNS JJ NN VBD,2 tablespoons fresh mint chopped,2 tablespoons fresh mint chopped,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,JJ NN IN JJ NN,generous sprinkle of dried oregano,generous sprinkle of dried oregano,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN TO VB JJ NN NN IN JJ,feta cheese to garnish vegan/dairy-free option use vegan cheese,feta cheese to garnish vegan/dairy-free option use vegan cheese,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,PRP$ JJ NN NN VBG NNS VBD DT JJ NN NN CC PRP VBD VBG,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,JJ NN IN JJ NN,generous sprinkle of dried oregano,generous sprinkle of dried oregano,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN TO VB JJ NN NN IN JJ,feta cheese to garnish vegan/dairy-free option use vegan cheese,feta cheese to garnish vegan/dairy-free option use vegan cheese,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,PRP$ JJ NN NN VBG NNS VBD DT JJ NN NN CC PRP VBD VBG,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN CC NN TO VB,sea salt and pepper to taste,sea salt and pepper to taste,http://www.picklesnhoney.com/2017/09/26/vegan-quinoa-taco-salad-recipe/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,IN DT NNS,for the veggies,for the veggies,http://www.unrefinedrd.com/moroccan-spiced-veg-chickpea-bowl-with-mango-tahini-sauce/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,JJ NN IN JJ NN,generous sprinkle of dried oregano,generous sprinkle of dried oregano,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN TO VB JJ NN NN IN JJ,feta cheese to garnish vegan/dairy-free option use vegan cheese,feta cheese to garnish vegan/dairy-free option use vegan cheese,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,PRP$ JJ NN NN VBG NNS VBD DT JJ NN NN CC PRP VBD VBG,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000F6FE8E8>,n_st,CD ,NNS ,CD NNS ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NNS JJ NN VBD,2 cups fresh spinach sliced,2 cups fresh spinach sliced,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000F6FE9E0>,n_st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN NNS VBD,5 cherry tomatoes halved,5 cherry tomatoes halved,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000F6FE9E0>,n_st,CD ,NNS ,CD NNS ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NNS JJ NN VBD,2 tablespoons fresh mint chopped,2 tablespoons fresh mint chopped,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,JJ NN IN JJ NN,generous sprinkle of dried oregano,generous sprinkle of dried oregano,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN TO VB JJ NN NN IN JJ,feta cheese to garnish vegan/dairy-free option use vegan cheese,feta cheese to garnish vegan/dairy-free option use vegan cheese,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,PRP$ JJ NN NN VBG NNS VBD DT JJ NN NN CC PRP VBD VBG,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000F7C38E8>,n_st,CD ,NNS ,CD NNS ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NNS JJ NN VBD,2 cups fresh spinach sliced,2 cups fresh spinach sliced,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000F7C39E0>,n_st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN NNS VBD,5 cherry tomatoes halved,5 cherry tomatoes halved,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
<_sre.SRE_Match object at 0x000000000F7C39E0>,n_st,CD ,NNS ,CD NNS ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NNS JJ NN VBD,2 tablespoons fresh mint chopped,2 tablespoons fresh mint chopped,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,JJ NN IN JJ NN,generous sprinkle of dried oregano,generous sprinkle of dried oregano,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN NN TO VB JJ NN NN IN JJ,feta cheese to garnish vegan/dairy-free option use vegan cheese,feta cheese to garnish vegan/dairy-free option use vegan cheese,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,PRP$ JJ NN NN VBG NNS VBD DT JJ NN NN CC PRP VBD VBG,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,your favorite vinaigrette salad dressing i used a homemade lemon vinaigrette and it was amazing,http://www.unrefinedrd.com/sunshine-summer-salad/,"[{'class': ['ingredient'], 'itemprop': 'ingredients'}]",
,,None,None,None,None,None,None,,NN CC NN,salt and pepper,salt and pepper,https://www.servingdumplings.com/recipes/soups/italian-roasted-pumpkin-soup/,"[{'class': ['ingredient'], 'itemprop': 'recipeIngredient'}]",
<_sre.SRE_Match object at 0x000000000B825B10>,st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN JJ NNS,1 cup frozen strawberries,1 cup frozen strawberries,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F837220>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,2 tbsp water,2 tbsp water,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B825B10>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN NN,2 tbsp sugar,2 tbsp sugar,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B825BF8>,st,CD ,,CD NN NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN NN NN,1 tbsp lemon juice,1 tbsp lemon juice,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B825B10>,st,CD ,,CD NNS,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD JJ NN NN NN IN CD NNS NN,1 tbsp corn starch mixed with 3 tbsp water,1 tbsp corn starch mixed with 3 tbsp water,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B825BF8>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN VBD NN NN NN,0.5 cup salted butter room temperature,0.5 cup salted butter room temperature,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B825B10>,st,CD ,,CD NNS,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NNS VBD NN,3 cups powdered sugar,3 cups powdered sugar,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B825BF8>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN NN,2 tsp vanilla,2 tsp vanilla,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
,,None,None,None,None,None,None,,DT JJ NNS IN JJ NN NN,a few drops of red food colouring,a few drops of red food colouring,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
,,None,None,None,None,None,None,,NN IN NN,pinch of salt,pinch of salt,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B825BF8>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN VBD NN NN NN,0.5 cup salted butter room temperature,0.5 cup salted butter room temperature,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F837220>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,0.5 cup white sugar,0.5 cup white sugar,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F837318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN,1 egg,1 egg,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B825BF8>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN NN,2 tsp vanilla,2 tsp vanilla,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F837318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NNS VBP,1.25 cups flour,1.25 cups flour,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B825BF8>,st,CD ,,CD NN NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN NN NN,1 tsp baking powder,1 tsp baking powder,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F837318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NN,1 tsp corn starch,1 tsp corn starch,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
,,None,None,None,None,None,None,,VBN JJ NNS IN JJ JJ,sliced fresh strawberries for garnish optional,sliced fresh strawberries for garnish optional,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B8A1B10>,st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN JJ NNS,1 cup frozen strawberries,1 cup frozen strawberries,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F8B1220>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,2 tbsp water,2 tbsp water,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B8A1B10>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN NN,2 tbsp sugar,2 tbsp sugar,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B8A1BF8>,st,CD ,,CD NN NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN NN NN,1 tbsp lemon juice,1 tbsp lemon juice,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000B8A1B10>,st,CD ,,CD NNS,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD JJ NN NN NN IN CD NNS NN,1 tbsp corn starch mixed with 3 tbsp water,1 tbsp corn starch mixed with 3 tbsp water,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
